okato,mrot,all_count,all_number_of_respondents,all_number_of_sources,all_salary,young_count,young_number_of_respondents,young_number_of_sources,young_salary,medium_count,medium_number_of_respondents,medium_number_of_sources,medium_salary,old_count,old_number_of_respondents,old_number_of_sources,old_salary,gndr
90,19242,366811,331703,354169,125804,61269,58129,62098,41,199730,177989,186575,106016,105812,95585,105496,19747,0
96,19242,753595,746558,1078223,164201,226575,225848,359498,342,419684,414117,558788,150730,107336,106593,159937,13129,0
7,23730,1537195,1508130,1627888,632605,240811,239689,254679,61,837688,816001,865482,556625,458696,452440,507727,75919,0
80,19242,2159801,2135524,2275072,869572,358289,355599,368616,179,1122238,1105545,1170254,782427,679274,674380,736202,86966,0
88,19242,361947,326368,369032,126322,61921,58859,61842,8,180206,155556,171844,109523,119820,111953,135346,16791,0
89,19242,420447,402537,472083,166318,56674,56136,59864,21,207604,196247,219252,145209,156169,150154,192967,21088,0
92,19242,2134973,2030903,2249895,892983,358429,350440,364579,108,1102044,1036130,1126211,792355,674500,644333,759105,100520,0
94,19242,787410,670362,782860,265226,132744,118076,127605,36,396484,322865,365835,233770,258182,229421,289420,31420,0
97,19242,637041,578315,662883,217506,110914,103714,109294,16,318217,279341,314945,190948,207910,195260,238644,26542,0
57,19242,1372908,1243116,1418362,485594,225615,215575,231567,48,700495,615777,685892,435349,446798,411764,500903,50197,0
33,19242,626754,570190,668919,213619,93557,88882,94381,19,290615,255408,287141,184214,242582,225900,287397,29386,0
22,19242,1707186,1430420,1587429,597697,230060,212815,221677,61,854491,692434,745352,518612,622635,525171,620400,79024,0
53,19242,998787,941566,1115901,346482,167372,162895,195087,42,502607,463139,510605,308950,328808,315532,410209,37490,0
56,19242,689082,627875,694268,239799,95862,91133,96020,27,335343,297486,322540,209487,257877,239256,275708,30285,0
36,19242,1717170,1608348,1727126,725183,237486,222743,230208,116,879341,816257,861931,628822,600343,569348,634987,96245,0
63,19242,1309871,1163030,1250635,482100,174751,163424,171383,63,679107,588386,623389,421061,456013,411220,455863,60976,0
73,19242,646564,551269,630844,209904,90393,84885,90757,14,320099,259644,283800,181857,236072,206740,256287,28033,0
37,19242,423124,373167,419420,122653,65475,62831,67315,21,196807,164590,181428,106801,160842,145746,170677,15831,0
65,19242,2293530,2082227,2291495,912150,350654,332635,343102,210,1198660,1057473,1140933,792971,744216,692119,807460,118969,0
71,19242,2009252,1615770,1764311,665212,400217,361634,370171,181,1114817,864850,944053,597564,494218,389286,450087,67467,0
